src_id,sys_id,rank
0,42,1
0,3,2
0,25,3
0,73,4
0,53,5
0,60,6
0,13,7
0,4,8
0,72,9
0,35,10
0,5,11
0,15,12
0,76,13
0,57,14
0,54,15
0,71,16
0,18,17
1,72,1
1,53,2
1,5,3
1,60,4
1,15,5
1,57,6
1,4,7
1,25,8
1,35,9
1,54,10
1,42,11
1,13,12
1,76,12
1,71,14
1,3,15
1,18,16
1,73,16
2,54,1
2,5,2
2,42,3
2,73,4
2,60,5
2,15,6
2,57,7
2,4,8
2,35,9
2,53,10
2,72,11
2,76,12
2,13,13
2,25,14
2,18,15
2,71,16
2,3,17
3,53,1
3,60,2
3,25,3
3,42,4
3,4,5
3,72,6
3,5,7
3,3,8
3,73,9
3,35,10
3,71,11
3,57,12
3,76,13
3,15,14
3,54,15
3,13,16
3,18,17
4,72,1
4,35,1
4,60,3
4,15,4
4,42,5
4,53,6
4,3,7
4,54,8
4,76,9
4,4,10
4,13,11
4,5,12
4,73,13
4,71,14
4,18,15
4,25,16
4,57,17
5,42,1
5,76,2
5,53,3
5,60,4
5,13,5
5,25,6
5,73,7
5,72,8
5,35,9
5,54,10
5,15,11
5,71,12
5,4,13
5,3,14
5,57,15
5,5,16
5,18,17
6,35,1
6,42,2
6,72,3
6,15,4
6,57,5
6,76,6
6,53,7
6,54,8
6,71,9
6,3,10
6,4,11
6,60,12
6,25,13
6,13,14
6,73,15
6,18,16
6,5,17
7,53,1
7,60,2
7,54,3
7,72,4
7,4,5
7,73,6
7,42,7
7,71,8
7,76,9
7,35,10
7,13,11
7,15,12
7,3,13
7,25,14
7,5,15
7,57,16
7,18,17
8,54,1
8,42,2
8,4,3
8,53,4
8,60,5
8,25,6
8,13,7
8,72,8
8,15,8
8,5,10
8,35,11
8,73,12
8,76,13
8,71,14
8,57,15
8,3,16
8,18,17
9,42,1
9,15,2
9,4,3
9,54,4
9,72,5
9,53,5
9,35,7
9,5,8
9,25,9
9,60,10
9,3,11
9,13,12
9,76,13
9,71,14
9,57,15
9,18,16
9,73,16
10,73,1
10,5,2
10,3,3
10,71,4
10,54,5
10,53,6
10,42,7
10,76,8
10,72,9
10,57,10
10,35,11
10,13,12
10,15,13
10,4,14
10,25,15
10,60,16
10,18,17
11,15,1
11,76,2
11,42,3
11,60,4
11,3,5
11,53,6
11,5,7
11,72,8
11,13,9
11,57,10
11,54,11
11,71,12
11,73,13
11,35,14
11,4,15
11,25,16
11,18,17
12,60,1
12,5,1
12,72,3
12,57,4
12,54,5
12,73,6
12,42,7
12,15,8
12,4,9
12,53,10
12,3,11
12,13,12
12,76,13
12,35,14
12,71,15
12,25,16
12,18,17
13,60,1
13,35,2
13,53,3
13,42,4
13,76,5
13,4,6
13,57,7
13,3,8
13,13,9
13,15,10
13,71,11
13,54,12
13,73,13
13,5,14
13,25,15
13,72,16
13,18,17
14,72,1
14,4,2
14,57,3
14,73,4
14,3,5
14,76,6
14,25,7
14,5,8
14,54,9
14,53,10
14,42,11
14,71,12
14,15,13
14,60,14
14,13,15
14,35,16
14,18,17
15,60,1
15,15,2
15,57,2
15,54,4
15,72,5
15,35,6
15,71,7
15,53,8
15,73,9
15,5,10
15,4,11
15,42,12
15,25,13
15,76,14
15,13,15
15,3,16
15,18,17
16,42,1
16,53,2
16,54,3
16,72,4
16,5,5
16,60,6
16,76,7
16,35,8
16,13,9
16,4,10
16,73,11
16,25,12
16,3,13
16,57,14
16,71,15
16,15,16
16,18,17
17,73,1
17,53,2
17,4,3
17,76,4
17,71,5
17,72,6
17,60,7
17,15,8
17,42,9
17,57,10
17,54,11
17,35,12
17,5,13
17,13,14
17,3,15
17,25,16
17,18,17
18,35,1
18,53,2
18,60,3
18,4,4
18,54,5
18,71,6
18,73,7
18,72,8
18,42,9
18,3,10
18,57,11
18,5,12
18,76,13
18,25,14
18,13,15
18,15,16
18,18,17
19,57,1
19,54,2
19,53,3
19,15,4
19,3,5
19,73,6
19,76,7
19,5,8
19,35,9
19,4,10
19,60,11
19,25,12
19,71,13
19,42,14
19,72,15
19,13,16
19,18,17
20,5,1
20,35,2
20,72,3
20,76,4
20,13,5
20,73,6
20,60,6
20,42,8
20,53,9
20,15,9
20,57,11
20,54,11
20,3,13
20,71,14
20,25,15
20,4,16
20,18,17
21,15,1
21,35,2
21,54,3
21,53,4
21,42,5
21,4,6
21,13,7
21,72,8
21,60,9
21,57,10
21,71,11
21,76,12
21,73,13
21,3,14
21,5,15
21,25,16
21,18,17
22,72,1
22,5,2
22,57,3
22,42,4
22,73,5
22,54,5
22,60,7
22,15,8
22,3,9
22,35,10
22,71,11
22,4,12
22,25,13
22,76,14
22,53,15
22,13,16
22,18,17
23,72,1
23,73,2
23,71,3
23,15,4
23,57,5
23,54,6
23,42,7
23,4,8
23,76,9
23,5,10
23,3,11
23,60,12
23,53,13
23,25,14
23,13,15
23,35,15
23,18,17
24,57,1
24,35,2
24,76,3
24,15,4
24,72,5
24,54,6
24,5,7
24,13,8
24,4,9
24,73,10
24,71,11
24,25,12
24,3,13
24,60,14
24,42,15
24,53,16
24,18,17
25,15,1
25,72,1
25,53,3
25,13,4
25,57,5
25,4,6
25,54,7
25,73,8
25,60,9
25,71,9
25,3,11
25,76,12
25,35,13
25,5,14
25,25,15
25,42,16
25,18,17
26,15,1
26,73,2
26,25,3
26,4,4
26,72,5
26,54,6
26,35,7
26,13,8
26,5,9
26,60,10
26,53,11
26,57,12
26,42,13
26,76,14
26,71,15
26,3,16
26,18,17
